sign,filename,good,start too early,start too late,end too early,end too late,wrong sign,empty sign,cropped,Slow Motion,Video Doesn't Play
cut,01-2022_12_21_12_11_42.086-0.mp4,x,x,,,,,,,,
cut,02-2022_12_22_10_33_02.377-0.mp4,x,x,x,,,,,,,
cut,03-2022_12_22_15_14_46.057-0.mp4,,,,,,,,,,
cut,04-2022_12_22_15_21_28.912-0.mp4,x,x,x,x,,,,,,
cut,05-2022_12_26_10_17_05.472-0.mp4,,,,,,,,,,
cut,06-2022_12_26_10_22_41.377-0.mp4,,,,,,,,,,
cut,07-2022_12_27_07_51_49.030-0.mp4,,,,,,,,,,
cut,08-2022_12_27_18_47_48.469-0.mp4,,,,,,,,,,
cut,09-2022_12_29_09_06_56.464-0.mp4,,,,,,,,,,
cut,10-2022_12_29_09_40_01.327-0.mp4,,,,,,,,,,
cut,11-2022_12_29_16_29_59.865-0.mp4,,,,,,,,,,
cut,12-2022_12_29_16_41_52.556-0.mp4,,,,,,,,,,
cut,13-2022_12_29_16_48_52.781-0.mp4,,,,,,,,,,
cut,14-2023_01_01_11_46_44.858-0.mp4,,,,,,,,,,
cut,15-2023_01_01_11_59_15.369-0.mp4,,,,,,,,,,
cut,16-2023_01_02_18_47_46.306-0.mp4,,,,,,,,,,
cut,17-2023_01_02_22_22_48.233-0.mp4,,,,,,,,,,
cut,18-2023_01_02_22_30_33.355-0.mp4,,,,,,,,,,
cut,19-2023_01_02_22_38_17.270-0.mp4,,,,,,,,,,
sign,filename,good,start too early,start too late,end too early,end too late,wrong sign,empty sign,cropped,Slow Motion,Video Doesn't Play
cute,01-2022_12_19_12_44_32.305-0.mp4,,,,,,,,,,
cute,02-2022_12_21_12_09_07.110-0.mp4,x,x,x,,,,,,,
cute,03-2022_12_22_10_34_46.014-0.mp4,x,x,x,,,,,,,
cute,04-2022_12_22_15_17_00.129-0.mp4,,,,,,,,,,
cute,05-2022_12_26_10_01_13.649-0.mp4,,,,,,,,,,
cute,06-2022_12_26_10_11_22.670-0.mp4,x,x,x,,,,,,x,x
cute,07-2022_12_26_10_23_24.063-0.mp4,,,,,,,,,,
cute,08-2022_12_27_07_51_30.591-0.mp4,,,,,,,,,,
cute,09-2022_12_27_18_39_52.098-0.mp4,,,,,,,,,,
cute,10-2022_12_27_18_51_59.067-0.mp4,,,,,,,,,,
cute,11-2022_12_29_16_27_23.134-0.mp4,,,,,,,,,,
cute,12-2022_12_29_16_33_02.946-0.mp4,,,,,,,,,,
cute,13-2023_01_01_11_38_36.772-0.mp4,,,,,,,,,,
cute,14-2023_01_01_11_45_15.866-0.mp4,,,,,,,,,,
cute,15-2023_01_01_11_54_17.424-0.mp4,,,,,,,,,,
cute,16-2023_01_02_18_49_47.761-0.mp4,,,,,,,,,,
cute,17-2023_01_02_18_51_17.950-0.mp4,,,,,,,,,,
cute,18-2023_01_02_22_31_52.490-0.mp4,,,,,,,,,,
cute,19-2023_01_02_22_37_42.732-0.mp4,,,,,,,,,,
